symbol,country,market_cap
HWM,USA,103.33B
SPOT,Sweden,102.44B
FDX-WI,USA,102.19B
BN,Canada,101.99B
FTNT,USA,101.08B
GSK,United Kingdom,100.84B
CM,Canada,100.76B
TT,Ireland,99.76B
CME,USA,99.12B
MAR,USA,99.04B
BNS,Canada,98.66B
FDX,USA,98.25B
SBS,Brazil,96.79B
BNY,USA,95.70B
DUK,USA,95.68B
MDT,Ireland,94.76B
CNQ,Canada,94.64B
FCX,USA,94.46B
IBN,India,94.04B
GD,USA,93.79B
AEM,Canada,91.76B
EQNR,Norway,91.23B
SNPS,USA,91.07B
UPS,USA,90.69B
INTU,USA,90.69B
MCK,USA,89.24B
CMI,USA,89.23B
ING,Netherlands,89.00B
CMCSA,USA,88.84B
PNC,USA,88.79B
ADP,USA,88.68B
SNOW,USA,88.57B
DDOG,USA,88.05B
WMB,USA,87.31B
AMT,USA,87.10B
MNST,USA,86.14B
KKR,USA,86.14B
MELI,USA,85.96B
NET,USA,85.48B
ELV,USA,85.39B
USB,USA,85.14B
HOOD,USA,84.99B
WM,USA,84.92B
ASX,Taiwan,84.14B
CSX,USA,84.10B
HCA,USA,83.98B
ICE,USA,83.61B
BCS,United Kingdom,83.21B
RKLB,USA,83.06B
NOK,Finland,83.00B
CIEN,USA,82.04B
JCI,Ireland,81.79B
SLB,USA,81.56B
NXPI,Netherlands,81.13B
NGG,United Kingdom,81.13B
BE,USA,81.07B
EMR,USA,80.55B
ABNB,USA,80.35B
CVNA,USA,80.07B
NOC,USA,80.06B
MMM,USA,79.87B
EPD,USA,79.60B
LYG,United Kingdom,79.50B
CP,Canada,79.29B
MCO,USA,79.18B
MDLZ,USA,78.52B
NTES,China,78.41B
AMX,Mexico,77.68B
BAM,USA,77.60B
MRSH,USA,77.07B
MPWR,USA,76.95B
RCL,USA,76.34B
GM,USA,75.05B
SHW,USA,74.94B
ROST,USA,74.65B
HLT,USA,74.59B
APO,USA,74.20B
E,Italy,74.04B
SU,Canada,74.02B
CI,USA,73.38B
VLO,USA,72.70B
CRH,USA,72.69B
MPC,USA,72.63B
CL,USA,72.12B
ECL,USA,72.05B
ORLY,USA,72.00B
CNI,Canada,71.91B
BSX,USA,71.81B
B,Canada,71.29B
ITW,USA,71.14B
EOG,USA,71.04B
COHR,USA,70.72B
PSX,USA,70.52B
TDG,USA,70.38B
PBR,Brazil,69.85B
AEP,USA,69.51B
F,USA,69.49B
DASH,USA,69.41B
TRP,Canada,69.37B
VALE,Brazil,69.30B
KMI,USA,69.15B
CTAS,USA,68.52B
NSC,USA,68.49B
NKE,USA,68.46B
WBD,USA,67.72B
AON,Ireland,67.50B
MSI,USA,66.94B
DLR,USA,66.77B
LITE,USA,66.52B
SPG,USA,66.45B
ET,USA,65.97B
REGN,USA,64.45B
FIX,USA,64.36B
MFC,Canada,64.03B
NWG,United Kingdom,63.87B
NU,Brazil,63.82B
BKR,USA,63.37B
URI,USA,62.38B
TEL,Ireland,62.29B
TRV,USA,62.07B
APD,USA,62.04B
RSG,USA,61.67B
STM,Switzerland,61.60B
DB,Germany,60.77B
WPM,Canada,60.21B
TFC,USA,60.06B
RACE,Italy,60.05B
CRWV,USA,59.76B
D,USA,58.87B
ALAB,USA,58.77B
LHX,USA,58.72B
TER,USA,58.60B
GWW,USA,58.27B
SRE,USA,58.26B
NBIS,Netherlands,58.15B
PCAR,USA,58.09B
KEYS,USA,58.02B
RELX,United Kingdom,57.96B
TGT,USA,57.71B
IMO,Canada,57.41B
AFL,USA,57.22B
O,USA,57.14B
HPE,USA,57.11B
NUE,USA,56.94B
OXY,USA,56.33B
UMC,Taiwan,55.79B
MSTR,USA,55.75B
MPLX,USA,55.46B
FLEX,USA,55.24B
TRGP,USA,54.75B
DAL,USA,54.19B
VST,USA,54.03B
FANG,USA,53.87B
STRC,USA,53.37B
PSA,USA,53.31B
MET,USA,53.21B
ALL,USA,53.05B
CARR,USA,53.05B
OKE,USA,52.88B
MT,Luxembourg,52.83B
COR,USA,52.41B
CTVA,USA,52.36B
NDAQ,USA,52.32B
CBRS,USA,52.05B
CVE,Canada,51.93B
AME,USA,51.77B
ARGX,Netherlands,51.73B
AJG,USA,51.67B
SE,Singapore,51.33B
MCHP,USA,51.31B
INFY,India,51.30B
DVN,USA,51.29B
FAST,USA,50.74B
EA,USA,50.58B
TAK,Japan,50.43B
ROK,USA,50.19B
ABEV,Brazil,50.07B
ETR,USA,49.93B
COIN,USA,49.80B
EW,USA,49.79B
XEL,USA,49.63B
CCJ,Canada,49.08B
FER,Netherlands,49.01B
AU,USA,48.90B
ADSK,USA,48.84B
EBAY,USA,48.52B
AZO,USA,48.36B
MDLN,USA,48.03B
ON,USA,47.27B
LNG,USA,47.12B
ODFL,USA,46.82B
EXC,USA,46.70B
CAH,USA,46.09B
MSCI,USA,45.96B
DEO,United Kingdom,45.84B
PBR-A,Brazil,45.67B
FITB,USA,45.25B
GRMN,Switzerland,45.11B
XYZ,USA,45.07B
GFS,USA,44.50B
FNV,Canada,44.48B
IDXX,USA,44.45B
WAB,USA,44.31B
CLS,Canada,44.31B
ASTS,USA,44.02B
FERG,USA,43.82B
CRDO,Cayman Islands,43.54B
STT,USA,43.08B
IX,Japan,42.99B
ITUB,Brazil,42.58B
ARES,USA,42.39B
VTR,USA,42.00B
DHI,USA,41.71B
TTWO,USA,41.62B
WDS,Australia,41.39B
ESLT,Israel,41.22B
TEVA,Israel,41.14B
HEI-A,USA,41.13B
HEI,USA,41.11B
VIK,Bermuda,41.06B
RKT,USA,41.06B
CMG,USA,40.87B
KDP,USA,40.86B
YUM,USA,40.78B
BDX,USA,40.54B
ALNY,USA,40.32B
CCEP,United Kingdom,40.20B
HLN,United Kingdom,40.13B
ERIC,Sweden,40.12B
AMP,USA,40.07B
CCI,USA,39.94B
SLF,Canada,39.77B
PYPL,USA,39.47B
HSY,USA,39.36B
AIG,USA,39.36B
TKO,USA,39.22B
PEG,USA,39.19B
LYV,USA,39.19B
ED,USA,38.93B
CCL,USA,38.81B
IBKR,USA,38.74B
JBL,USA,38.46B
ADM,USA,38.45B
TRI,Canada,38.32B
KR,USA,38.32B
A,USA,38.30B
IRM,USA,38.16B
WCN,Canada,37.86B
WAT,USA,37.66B
BIDU,China,37.65B
STLD,USA,37.52B
SATS,USA,37.44B
UAL,USA,37.26B
EME,USA,36.74B
VMC,USA,36.71B
HUM,USA,36.67B
CBRE,USA,36.61B
SYY,USA,36.25B
WEC,USA,36.17B
AXON,USA,36.17B
WDAY,USA,36.11B
KB,South Korea,36.05B
PUK,Hong Kong,36.04B
KGC,Canada,36.04B
PCG,USA,35.98B
GFI,South Africa,35.68B
UI,USA,35.34B
HMC,Japan,35.02B
JD,China,34.98B
MLM,USA,34.93B
PRU,USA,34.92B
CBOE,USA,34.91B
HIG,USA,34.85B
PAYX,USA,34.75B
VOD,United Kingdom,34.45B
NTAP,USA,34.39B
EQT,USA,34.36B
QSR,USA,34.09B
CHT,Taiwan,33.95B
RDDT,USA,33.88B
RBLX,USA,33.76B
LVS,USA,33.51B
RVMD,USA,33.48B
KVUE,USA,33.18B
HBAN,USA,33.16B
NTR,Canada,32.98B
FSLR,USA,32.97B
ROP,USA,32.85B
Q,USA,32.66B
ZTS,USA,32.57B
HAL,USA,32.46B
KMB,USA,32.40B
TECK,Canada,32.39B
ALC,Switzerland,32.31B
SUNB,USA,32.26B
EL,USA,32.18B
RPRX,USA,32.11B
NTRA,USA,31.99B
EXR,USA,31.85B
RYAAY,Ireland,31.65B
MTB,USA,31.65B
CPRT,USA,31.57B
ACGL,Bermuda,31.21B
TS,Luxembourg,30.76B
NTRS,USA,30.62B
TCOM,Singapore,30.51B
IQV,USA,30.41B
VICI,USA,30.17B
FISV,USA,30.16B
AMRZ,USA,30.06B
EC,Colombia,30.04B
VG,USA,29.91B
MTZ,USA,29.90B
AEE,USA,29.88B
SHG,South Korea,29.82B
CPNG,USA,29.80B
ZM,USA,29.79B
DTE,USA,29.72B
ONC,Switzerland,29.45B
CNC,USA,29.43B
TPR,USA,29.39B
FICO,USA,29.00B
BIIB,USA,28.94B
TWLO,USA,28.93B
TDY,USA,28.72B
CQP,USA,28.59B
TSEM,Israel,28.52B
KHC,USA,28.47B
DOV,USA,28.46B
DXCM,USA,28.45B
VEEV,USA,28.45B
GEHC,USA,28.36B
CASY,USA,28.35B
NRG,USA,28.29B
ATO,USA,28.23B
CRCL,USA,28.09B
FTS,Canada,28.07B
IR,USA,28.04B
SYM,USA,27.98B
RJF,USA,27.95B
MTSI,USA,27.82B
SMCI,USA,27.72B
CNP,USA,27.65B
RMD,USA,27.64B
CW,USA,27.62B
TEAM,USA,27.31B
FTI,USA,27.28B
BAP,Peru,27.25B
OTIS,USA,27.18B
TPL,USA,27.11B
EXPE,USA,27.10B
PBA,Canada,27.06B
MDB,USA,27.01B
NVT,United Kingdom,27.01B
EIX,USA,26.91B
IONQ,USA,26.90B
FE,USA,26.83B
FTAI,USA,26.71B
PPL,USA,26.63B
CTSH,USA,26.42B
STRL,USA,26.42B
P,USA,26.41B
CFG,USA,26.33B
JBHT,USA,26.07B
XYL,USA,26.04B
VRSN,USA,25.97B
ES,USA,25.67B
FOXA,USA,25.44B
FOX,USA,25.39B
AVB,USA,25.39B
PPG,USA,25.18B
XPO,USA,25.16B
PHG,Netherlands,25.12B
HUBB,USA,25.03B
WIT,India,24.74B
HPQ,USA,24.73B
AFRM,USA,24.67B
ILMN,USA,24.66B
EQR,USA,24.52B
DG,USA,24.36B
CINF,USA,24.35B
DOW,USA,24.33B
BNTX,Germany,24.26B
AWK,USA,24.07B
SYF,USA,24.03B
PAAS,Canada,24.01B
FMX,Mexico,23.99B
WSM,USA,23.97B
BG,USA,23.92B
STZ,USA,23.90B
ATI,USA,23.90B
RF,USA,23.89B
MTD,USA,23.86B
TW,USA,23.66B
WRB,USA,23.65B
CPAY,USA,23.65B
UTHR,USA,23.64B
WTW,United Kingdom,23.58B
NMR,Japan,23.53B
NXT,USA,23.50B
FN,Cayman Islands,23.44B
BCE,Canada,23.42B
SOFI,USA,23.37B
DRI,USA,23.35B
CRS,USA,23.30B
AER,Ireland,23.26B
INSM,USA,23.17B
KEY,USA,23.13B
STLA,Netherlands,23.07B
IHG,United Kingdom,23.04B
VRSK,USA,22.93B
ROL,USA,22.92B
WST,USA,22.81B
FWONA,USA,22.73B
MKL,USA,22.72B
IREN,Australia,22.67B
DLTR,USA,22.67B
FCNCA,USA,22.66B
CHD,USA,22.66B
ZS,USA,22.60B
FWONK,USA,22.56B
PHM,USA,22.51B
CMS,USA,22.42B
TROW,USA,22.40B
PFG,USA,22.38B
EXE,USA,22.24B
FIS,USA,22.22B
ULTA,USA,22.17B
NI,USA,22.16B
LEN,USA,22.05B
MKSI,USA,21.90B
LPLA,USA,21.90B
DKNG,USA,21.78B
AKAM,USA,21.74B
RL,USA,21.66B
FFIV,USA,21.63B
OKTA,USA,21.61B
DGX,USA,21.57B
ROIV,United Kingdom,21.57B
SBAC,USA,21.55B
SW,Ireland,21.51B
LYB,United Kingdom,21.51B
PKX,South Korea,21.45B
LH,USA,21.32B
L,USA,21.31B
ENTG,USA,21.17B
TSN,USA,21.06B
CHRW,USA,21.06B
SNX,USA,21.00B
VIV,Brazil,21.00B
LUV,USA,20.99B
STE,Ireland,20.86B
WWD,USA,20.86B
YPF,Argentina,20.85B
RCI,Canada,20.83B
ALB,USA,20.81B
OMC,USA,20.72B
EXPD,USA,20.66B
GPN,USA,20.66B
AS,Finland,20.57B
RIVN,USA,20.54B
AA,USA,20.49B
AXIA,Brazil,20.47B
IOT,USA,20.39B
BSBR,Spain,20.37B
DKS,USA,20.36B
BURL,USA,20.35B
VLTO,USA,20.20B
LSCC,USA,20.15B
ULS,USA,20.06B
CDE,USA,19.99B
CHTR,USA,19.95B
DD,USA,19.85B
RBA,USA,19.81B
CX,Mexico,19.79B
EFX,USA,19.74B
TU,Canada,19.59B
PKG,USA,19.50B
RS,USA,19.44B
IFF,USA,19.42B
UDR,USA,19.37B
INCY,USA,19.33B
SNA,USA,19.23B
BCH,Chile,19.23B
ROKU,USA,19.21B
BRO,USA,19.07B
RGLD,USA,19.05B
VTRS,USA,18.94B
EVRG,USA,18.91B
SITM,USA,18.75B
MRNA,USA,18.72B
PAGP,USA,18.55B
LNT,USA,18.50B
ARXS,USA,18.44B
BBD,Brazil,18.42B
ESS,USA,18.12B
RBC,USA,18.09B
MGA,Canada,18.06B
GIS,USA,18.04B
TTMI,USA,18.04B
BIP,Bermuda,18.04B
USFD,USA,18.03B
AMCR,Switzerland,17.95B
BWXT,USA,17.95B
APG,USA,17.93B
BEKE,China,17.84B
FTV,USA,17.78B
BR,USA,17.78B
IP,USA,17.72B
PL,USA,17.70B
WY,USA,17.67B
WCC,USA,17.59B
TLN,USA,17.56B
LOGI,Switzerland,17.49B
LII,USA,17.48B
ITT,USA,17.43B
INVH,USA,17.38B
CF,USA,17.26B
SN,USA,17.25B
AMKR,USA,17.24B
GH,USA,17.20B
KSPI,Kazakhstan,17.18B
AGI,Canada,17.13B
H,USA,17.08B
KEP,South Korea,16.90B
WES,USA,16.88B
FLUT,USA,16.87B
EWBC,USA,16.79B
FPS,USA,16.64B
WPC,USA,16.58B
TSCO,USA,16.54B
NVR,USA,16.48B
WMG,USA,16.45B
BBY,USA,16.42B
PHYS,Canada,16.41B
GNRC,USA,16.36B
TPG,USA,16.36B
CG,USA,16.35B
VNOM,USA,16.34B
DOCN,USA,16.28B
TLK,Indonesia,16.26B
SSNC,USA,16.26B
KIM,USA,16.24B
RBRK,USA,16.18B
BEN,USA,16.12B
PR,USA,16.10B
LDOS,USA,16.08B
OWL,USA,16.03B
CDW,USA,16.03B
PTC,USA,16.02B
NLY,USA,16.01B
NDSN,USA,16.01B
NVMI,Israel,15.97B
TXT,USA,15.96B
ZBH,USA,15.93B
NBIX,USA,15.92B
PS,USA,15.84B
PAA,USA,15.83B
DECK,USA,15.81B
EMA,Canada,15.80B
OVV,USA,15.75B
HST,USA,15.74B
RMBS,USA,15.73B
LULU,Canada,15.68B
GMAB,Denmark,15.66B
IEX,USA,15.60B
GEN,USA,15.54B
LAMR,USA,15.47B
PFGC,USA,15.42B
LTM,Chile,15.41B
MAA,USA,15.40B
WSE,United Kingdom,15.38B
PSLV,Canada,15.31B
DY,USA,15.31B
VICR,USA,15.26B
SUI,USA,15.24B
RTO,United Kingdom,15.14B
THC,USA,15.10B
TOST,USA,15.10B
BSAC,Chile,15.04B
WSO,USA,15.00B
NWSA,USA,14.97B
ENLT,Israel,14.97B
NWS,USA,14.95B
SGI,USA,14.89B
CLH,USA,14.85B
JAZZ,Ireland,14.84B
WF,South Korea,14.82B
YUMC,China,14.81B
PNFP,USA,14.77B
BWA,USA,14.73B
MOD,USA,14.73B
GIB,Canada,14.61B
BALL,USA,14.56B
GRAB,Singapore,14.51B
CPT,USA,14.41B
AUR,USA,14.40B
APTV,Switzerland,14.38B
TIGO,Luxembourg,14.30B
DTM,USA,14.28B
MLI,USA,14.22B
SMTC,USA,14.21B
SKM,South Korea,14.19B
MAS,USA,14.17B
REG,USA,14.16B
LECO,USA,14.16B
J,USA,14.15B
CHKP,Israel,14.08B
HUT,USA,14.06B
ARMK,USA,14.04B
CSL,USA,13.95B
OHI,USA,13.93B
SANM,USA,13.92B
ASND,Denmark,13.92B
NTNX,USA,13.81B
TRU,USA,13.80B
HTHT,China,13.79B
ARCC,USA,13.64B
SMMT,USA,13.60B
GPC,USA,13.58B
DOC,USA,13.53B
RPM,USA,13.52B
IESC,USA,13.52B
ONON,Switzerland,13.51B
APLD,USA,13.51B
JHX,Ireland,13.51B
FIG,USA,13.47B
RRX,USA,13.43B
SOLS,USA,13.38B
JBS,Netherlands,13.32B
GLPI,USA,13.30B
U,USA,13.30B
SUN,USA,13.30B
UNM,USA,13.30B
TYL,USA,13.20B
EVR,USA,13.19B
RGA,USA,13.15B
TRMB,USA,13.15B
CSGP,USA,13.15B
ALLY,USA,13.12B
TOL,USA,13.12B
JLL,USA,13.10B
PAYP,Japan,13.05B
NIO,China,13.02B
DRS,USA,13.01B
SOLV,USA,12.98B
BBIO,USA,12.98B
GWRE,USA,12.92B
APA,USA,12.88B
XPEV,China,12.85B
ONTO,USA,12.85B
EG,Bermuda,12.82B
HRL,USA,12.78B
MEDP,USA,12.77B
MKC,USA,12.75B
FNF,USA,12.74B
LI,China,12.72B
AAOI,USA,12.71B
EXEL,USA,12.69B
TFII,Canada,12.67B
WULF,USA,12.67B
CNH,United Kingdom,12.66B
AEG,Netherlands,12.65B
SNN,United Kingdom,12.65B
IONS,USA,12.64B
IVZ,USA,12.62B
DINO,USA,12.60B
SAIA,USA,12.60B
FIVE,USA,12.57B
ALGN,USA,12.53B
GGG,USA,12.52B
PEN,USA,12.52B
QXO,USA,12.51B
DVA,USA,12.48B
BNT,Bermuda,12.43B
DT,USA,12.41B
ZTO,China,12.40B
ELS,USA,12.38B
SWK,USA,12.35B
CRBG,USA,12.33B
AIZ,USA,12.33B
KNX,USA,12.29B
SQM,Chile,12.26B
HAS,USA,12.19B
NYT,USA,12.17B
AVY,USA,12.17B
HII,USA,12.14B
PNW,USA,12.09B
AXSM,USA,12.07B
BF-A,USA,12.03B
KTOS,USA,12.03B
GFL,USA,12.00B
BTSG,USA,11.96B
RNR,Bermuda,11.95B
AGNC,USA,11.95B
COO,USA,11.94B
BF-B,USA,11.93B
HL,USA,11.92B
ELAN,USA,11.91B
GL,USA,11.90B
VIAV,USA,11.90B
PSKY,USA,11.87B
TXRH,USA,11.87B
RGC,Hong Kong,11.82B
LFUS,USA,11.81B
WBS,USA,11.78B
BLD,USA,11.75B
SWKS,USA,11.71B
JOBY,USA,11.71B
RVTY,USA,11.66B
EQH,USA,11.64B
OKLO,USA,11.64B
ZBRA,USA,11.60B
HBM,Canada,11.57B
AMH,USA,11.57B
GLXY,USA,11.53B
COKE,USA,11.53B
MP,USA,11.52B
FHN,USA,11.50B
AEIS,USA,11.49B
AAON,USA,11.48B
MDGL,USA,11.46B
PNR,United Kingdom,11.45B
HMY,South Africa,11.42B
MOG-A,USA,11.41B
CNA,USA,11.38B
GDDY,USA,11.36B
BEP,Bermuda,11.35B
RDY,India,11.35B
CACI,USA,11.34B
LUMN,USA,11.32B
HUBS,USA,11.30B
GIL,Canada,11.29B
PINS,USA,11.23B
AIT,USA,11.23B
ALLE,Ireland,11.18B
MGM,USA,11.17B
QBTS,USA,11.15B
WLK,USA,11.12B
GMED,USA,11.11B
AR,USA,11.08B
BMRN,USA,11.07B
SJM,USA,11.01B
PAG,USA,11.00B
BMNR,USA,10.98B
ARW,USA,10.97B
ARWR,USA,10.97B
CGNX,USA,10.96B
VSAT,USA,10.95B
XE,USA,10.89B
BJ,USA,10.89B
CLX,USA,10.89B
IT,USA,10.86B
EGP,USA,10.85B
SPXC,USA,10.85B
GSAT,USA,10.85B
AFG,USA,10.78B
FRVO,USA,10.78B
JEF,USA,10.78B
SF,USA,10.76B
SAIL,USA,10.68B
EQX,Canada,10.67B
WMS,USA,10.66B
CCK,USA,10.62B
FMS,Germany,10.58B
SEIC,USA,10.57B
ABVX,France,10.57B
CR,USA,10.57B
IAG,Canada,10.53B
TIMB,Brazil,10.52B
BXP,USA,10.51B
WYNN,USA,10.51B
EHC,USA,10.50B
WTRG,USA,10.46B
AES,USA,10.46B
ICLR,Ireland,10.42B
AG,Canada,10.41B
FRT,USA,10.40B
SCI,USA,10.39B
POWL,USA,10.36B
AVAV,USA,10.35B
UHAL-B,USA,10.34B
ESI,USA,10.34B
DPZ,USA,10.33B
WTS,USA,10.32B
EMBJ,Brazil,10.28B
RIOT,USA,10.25B
DOCU,USA,10.20B
AHR,USA,10.20B
SFD,USA,10.16B
PAC,Mexico,10.15B
TTD,USA,10.14B
WTFC,USA,10.13B
OC,USA,10.13B
SUZ,Brazil,10.11B
LINE,USA,10.11B
UHAL,USA,10.11B
VMI,USA,10.09B
PODD,USA,10.04B
