symbol,country,market_cap
TDG,USA,70.38B
F,USA,69.49B
DASH,USA,69.41B
NKE,USA,68.46B
MSI,USA,66.94B
LITE,USA,66.52B
ET,USA,65.97B
BKR,USA,63.37B
WPM,Canada,60.21B
TFC,USA,60.06B
CRWV,USA,59.76B
ALAB,USA,58.77B
LHX,USA,58.72B
TER,USA,58.60B
KEYS,USA,58.02B
TGT,USA,57.71B
AFL,USA,57.22B
HPE,USA,57.11B
OXY,USA,56.33B
MSTR,USA,55.75B
FLEX,USA,55.24B
TRGP,USA,54.75B
DAL,USA,54.19B
VST,USA,54.03B
FANG,USA,53.87B
STRC,USA,53.37B
CARR,USA,53.05B
OKE,USA,52.88B
CBRS,USA,52.05B
SE,Singapore,51.33B
MCHP,USA,51.31B
DVN,USA,51.29B
ROK,USA,50.19B
COIN,USA,49.80B
CCJ,Canada,49.08B
ADSK,USA,48.84B
EBAY,USA,48.52B
ON,USA,47.27B
LNG,USA,47.12B
XYZ,USA,45.07B
GFS,USA,44.50B
CLS,Canada,44.31B
ASTS,USA,44.02B
STT,USA,43.08B
IX,Japan,42.99B
TTWO,USA,41.62B
RKT,USA,41.06B
CMG,USA,40.87B
YUM,USA,40.78B
PYPL,USA,39.47B
LYV,USA,39.19B
CCL,USA,38.81B
IBKR,USA,38.74B
KR,USA,38.32B
BIDU,China,37.65B
STLD,USA,37.52B
SATS,USA,37.44B
UAL,USA,37.26B
HUM,USA,36.67B
WDAY,USA,36.11B
UI,USA,35.34B
CBOE,USA,34.91B
PAYX,USA,34.75B
NTAP,USA,34.39B
EQT,USA,34.36B
RDDT,USA,33.88B
RBLX,USA,33.76B
LVS,USA,33.51B
FSLR,USA,32.97B
Q,USA,32.66B
ZTS,USA,32.57B
HAL,USA,32.46B
EL,USA,32.18B
NTRS,USA,30.62B
IQV,USA,30.41B
FISV,USA,30.16B
