symbol,country,market_cap
PNC,USA,88.79B
ADP,USA,88.68B
SNOW,USA,88.57B
DDOG,USA,88.05B
WMB,USA,87.31B
AMT,USA,87.10B
MNST,USA,86.14B
KKR,USA,86.14B
MELI,USA,85.96B
NET,USA,85.48B
ELV,USA,85.39B
USB,USA,85.14B
HOOD,USA,84.99B
WM,USA,84.92B
CSX,USA,84.10B
HCA,USA,83.98B
ICE,USA,83.61B
BCS,United Kingdom,83.21B
RKLB,USA,83.06B
CIEN,USA,82.04B
SLB,USA,81.56B
NGG,United Kingdom,81.13B
BE,USA,81.07B
EMR,USA,80.55B
ABNB,USA,80.35B
CVNA,USA,80.07B
NOC,USA,80.06B
MMM,USA,79.87B
EPD,USA,79.60B
LYG,United Kingdom,79.50B
CP,Canada,79.29B
MCO,USA,79.18B
MDLZ,USA,78.52B
NTES,China,78.41B
BAM,USA,77.60B
MRSH,USA,77.07B
MPWR,USA,76.95B
RCL,USA,76.34B
GM,USA,75.05B
SHW,USA,74.94B
ROST,USA,74.65B
HLT,USA,74.59B
APO,USA,74.20B
SU,Canada,74.02B
CI,USA,73.38B
VLO,USA,72.70B
CRH,USA,72.69B
MPC,USA,72.63B
CL,USA,72.12B
ECL,USA,72.05B
ORLY,USA,72.00B
CNI,Canada,71.91B
BSX,USA,71.81B
B,Canada,71.29B
ITW,USA,71.14B
EOG,USA,71.04B
COHR,USA,70.72B
PSX,USA,70.52B
TDG,USA,70.38B
AEP,USA,69.51B
F,USA,69.49B
DASH,USA,69.41B
TRP,Canada,69.37B
KMI,USA,69.15B
CTAS,USA,68.52B
NSC,USA,68.49B
NKE,USA,68.46B
WBD,USA,67.72B
MSI,USA,66.94B
DLR,USA,66.77B
LITE,USA,66.52B
SPG,USA,66.45B
ET,USA,65.97B
REGN,USA,64.45B
FIX,USA,64.36B
MFC,Canada,64.03B
NWG,United Kingdom,63.87B
BKR,USA,63.37B
URI,USA,62.38B
TRV,USA,62.07B
APD,USA,62.04B
RSG,USA,61.67B
WPM,Canada,60.21B
TFC,USA,60.06B
CRWV,USA,59.76B
D,USA,58.87B
ALAB,USA,58.77B
LHX,USA,58.72B
TER,USA,58.60B
GWW,USA,58.27B
SRE,USA,58.26B
PCAR,USA,58.09B
KEYS,USA,58.02B
RELX,United Kingdom,57.96B
TGT,USA,57.71B
IMO,Canada,57.41B
AFL,USA,57.22B
O,USA,57.14B
HPE,USA,57.11B
NUE,USA,56.94B
OXY,USA,56.33B
MSTR,USA,55.75B
MPLX,USA,55.46B
FLEX,USA,55.24B
TRGP,USA,54.75B
DAL,USA,54.19B
VST,USA,54.03B
FANG,USA,53.87B
STRC,USA,53.37B
PSA,USA,53.31B
MET,USA,53.21B
ALL,USA,53.05B
CARR,USA,53.05B
OKE,USA,52.88B
COR,USA,52.41B
CTVA,USA,52.36B
NDAQ,USA,52.32B
CBRS,USA,52.05B
CVE,Canada,51.93B
AME,USA,51.77B
AJG,USA,51.67B
SE,Singapore,51.33B
MCHP,USA,51.31B
DVN,USA,51.29B
FAST,USA,50.74B
EA,USA,50.58B
TAK,Japan,50.43B
ROK,USA,50.19B
ETR,USA,49.93B
COIN,USA,49.80B
EW,USA,49.79B
XEL,USA,49.63B
CCJ,Canada,49.08B
AU,USA,48.90B
ADSK,USA,48.84B
EBAY,USA,48.52B
AZO,USA,48.36B
MDLN,USA,48.03B
ON,USA,47.27B
LNG,USA,47.12B
ODFL,USA,46.82B
EXC,USA,46.70B
CAH,USA,46.09B
MSCI,USA,45.96B
DEO,United Kingdom,45.84B
FITB,USA,45.25B
XYZ,USA,45.07B
GFS,USA,44.50B
FNV,Canada,44.48B
IDXX,USA,44.45B
WAB,USA,44.31B
CLS,Canada,44.31B
ASTS,USA,44.02B
FERG,USA,43.82B
STT,USA,43.08B
IX,Japan,42.99B
ARES,USA,42.39B
VTR,USA,42.00B
DHI,USA,41.71B
TTWO,USA,41.62B
HEI,USA,41.11B
RKT,USA,41.06B
CMG,USA,40.87B
KDP,USA,40.86B
YUM,USA,40.78B
BDX,USA,40.54B
ALNY,USA,40.32B
CCEP,United Kingdom,40.20B
HLN,United Kingdom,40.13B
AMP,USA,40.07B
CCI,USA,39.94B
SLF,Canada,39.77B
PYPL,USA,39.47B
HSY,USA,39.36B
AIG,USA,39.36B
TKO,USA,39.22B
PEG,USA,39.19B
LYV,USA,39.19B
ED,USA,38.93B
CCL,USA,38.81B
IBKR,USA,38.74B
JBL,USA,38.46B
ADM,USA,38.45B
TRI,Canada,38.32B
KR,USA,38.32B
A,USA,38.30B
IRM,USA,38.16B
WCN,Canada,37.86B
WAT,USA,37.66B
BIDU,China,37.65B
STLD,USA,37.52B
SATS,USA,37.44B
UAL,USA,37.26B
EME,USA,36.74B
VMC,USA,36.71B
HUM,USA,36.67B
CBRE,USA,36.61B
SYY,USA,36.25B
WEC,USA,36.17B
AXON,USA,36.17B
WDAY,USA,36.11B
KGC,Canada,36.04B
PCG,USA,35.98B
UI,USA,35.34B
MLM,USA,34.93B
PRU,USA,34.92B
CBOE,USA,34.91B
HIG,USA,34.85B
PAYX,USA,34.75B
VOD,United Kingdom,34.45B
NTAP,USA,34.39B
EQT,USA,34.36B
QSR,USA,34.09B
RDDT,USA,33.88B
RBLX,USA,33.76B
LVS,USA,33.51B
RVMD,USA,33.48B
KVUE,USA,33.18B
HBAN,USA,33.16B
NTR,Canada,32.98B
FSLR,USA,32.97B
ROP,USA,32.85B
Q,USA,32.66B
ZTS,USA,32.57B
HAL,USA,32.46B
KMB,USA,32.40B
TECK,Canada,32.39B
SUNB,USA,32.26B
EL,USA,32.18B
RPRX,USA,32.11B
NTRA,USA,31.99B
EXR,USA,31.85B
MTB,USA,31.65B
CPRT,USA,31.57B
NTRS,USA,30.62B
IQV,USA,30.41B
VICI,USA,30.17B
FISV,USA,30.16B
AMRZ,USA,30.06B
